NOM_CD,quarter,SEXO,insecurity_score,insecurity_level,cluster
AGUASCALIENTES,2025_Q1,2,1.4545454545454546,Medium,1
AGUASCALIENTES,2025_Q1,2,1.4166666666666667,Medium,1
AGUASCALIENTES,2025_Q1,1,2.0,High,0
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.1666666666666667,Low,2
AGUASCALIENTES,2025_Q1,1,1.2727272727272727,Medium,2
AGUASCALIENTES,2025_Q1,2,1.4545454545454546,Medium,2
AGUASCALIENTES,2025_Q1,1,1.7777777777777777,High,1
AGUASCALIENTES,2025_Q1,2,1.6,High,
AGUASCALIENTES,2025_Q1,2,1.5555555555555556,Medium,0
AGUASCALIENTES,2025_Q1,1,1.5833333333333333,Medium,1
AGUASCALIENTES,2025_Q1,2,1.25,Medium,1
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.6153846153846154,High,2
AGUASCALIENTES,2025_Q1,1,1.3636363636363635,Medium,2
AGUASCALIENTES,2025_Q1,2,1.1666666666666667,Low,0
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,2,1.1538461538461537,Low,0
AGUASCALIENTES,2025_Q1,2,1.2727272727272727,Medium,1
AGUASCALIENTES,2025_Q1,1,1.25,Medium,2
AGUASCALIENTES,2025_Q1,2,1.2,Low,2
AGUASCALIENTES,2025_Q1,2,1.0909090909090908,Low,2
AGUASCALIENTES,2025_Q1,1,1.125,Low,2
AGUASCALIENTES,2025_Q1,2,1.5833333333333333,Medium,1
AGUASCALIENTES,2025_Q1,2,1.5833333333333333,Medium,0
AGUASCALIENTES,2025_Q1,2,1.1666666666666667,Low,2
AGUASCALIENTES,2025_Q1,2,1.4166666666666667,Medium,2
AGUASCALIENTES,2025_Q1,2,1.5,Medium,2
AGUASCALIENTES,2025_Q1,1,1.1666666666666667,Low,2
AGUASCALIENTES,2025_Q1,1,1.0909090909090908,Low,2
AGUASCALIENTES,2025_Q1,2,2.0,High,0
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.0769230769230769,Low,2
AGUASCALIENTES,2025_Q1,1,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,1,1.75,High,1
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.5454545454545454,Medium,1
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.3333333333333333,Medium,2
AGUASCALIENTES,2025_Q1,2,2.0,High,1
AGUASCALIENTES,2025_Q1,2,1.5555555555555556,Medium,1
AGUASCALIENTES,2025_Q1,1,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,1,1.4166666666666667,Medium,2
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.5833333333333333,Medium,1
AGUASCALIENTES,2025_Q1,2,1.75,High,1
AGUASCALIENTES,2025_Q1,2,1.4166666666666667,Medium,1
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.5833333333333333,Medium,1
AGUASCALIENTES,2025_Q1,2,1.6363636363636365,High,2
AGUASCALIENTES,2025_Q1,2,1.0909090909090908,Low,1
AGUASCALIENTES,2025_Q1,2,2.0,High,1
AGUASCALIENTES,2025_Q1,1,1.1666666666666667,Low,1
AGUASCALIENTES,2025_Q1,2,1.125,Low,2
AGUASCALIENTES,2025_Q1,2,1.2,Low,2
AGUASCALIENTES,2025_Q1,1,1.1,Low,2
AGUASCALIENTES,2025_Q1,1,1.2727272727272727,Medium,2
AGUASCALIENTES,2025_Q1,1,1.0909090909090908,Low,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.1,Low,2
AGUASCALIENTES,2025_Q1,2,1.6,High,0
AGUASCALIENTES,2025_Q1,1,1.1666666666666667,Low,2
AGUASCALIENTES,2025_Q1,2,1.375,Medium,2
AGUASCALIENTES,2025_Q1,1,1.8461538461538463,High,0
AGUASCALIENTES,2025_Q1,2,1.0,Low,2
AGUASCALIENTES,2025_Q1,2,1.9090909090909092,High,0
AGUASCALIENTES,2025_Q1,2,2.0,High,0
AGUASCALIENTES,2025_Q1,2,1.1,Low,2
AGUASCALIENTES,2025_Q1,1,1.0833333333333333,Low,2
AGUASCALIENTES,2025_Q1,1,1.4166666666666667,Medium,1
AGUASCALIENTES,2025_Q1,2,1.5,Medium,2
AGUASCALIENTES,2025_Q1,2,1.5,Medium,2
AGUASCALIENTES,2025_Q1,1,1.0,Low,2
AGUASCALIENTES,2025_Q1,1,1.8333333333333333,High,1
